time,pitch,note,string,finger,position,duration,bow_direction,bow_speed,bow_force
0.0,81,A5,E,3,1,0.5,down,5,4
0.5,81,A5,E,3,1,0.5,up,5,4
1.0,76,E5,E,0,1,0.5,down,5,4
1.5,76,E5,E,0,1,0.5,up,5,4
2.0,78,F#5,E,1,1,0.5,down,5,4
2.5,78,F#5,E,1,1,0.5,up,5,4
3.0,76,E5,E,0,1,1.0,down,4,4
4.0,74,D5,A,3,1,0.5,up,5,4
4.5,74,D5,A,3,1,0.5,down,5,4
5.0,73,C#5,A,2,1,0.5,up,5,4
5.5,73,C#5,A,2,1,0.5,down,5,4
6.0,71,B4,A,1,1,0.5,up,5,4
6.5,71,B4,A,1,1,0.5,down,5,4
7.0,69,A4,A,0,1,1.0,up,4,4
8.0,76,E5,E,0,1,0.5,down,5,4
8.5,76,E5,E,0,1,0.5,up,5,4
9.0,74,D5,A,3,1,0.5,down,5,4
9.5,74,D5,A,3,1,0.5,up,5,4
10.0,73,C#5,A,2,1,0.5,down,5,4
10.5,73,C#5,A,2,1,0.5,up,5,4
11.0,71,B4,A,1,1,1.0,down,4,4
12.0,81,A5,E,3,1,0.5,up,5,4
12.5,81,A5,E,3,1,0.5,down,5,4
13.0,76,E5,E,0,1,0.5,up,5,4
13.5,76,E5,E,0,1,0.5,down,5,4
14.0,78,F#5,E,1,1,0.5,up,5,4
14.5,78,F#5,E,1,1,0.5,down,5,4
15.0,76,E5,E,0,1,1.0,up,4,4
16.0,74,D5,A,3,1,0.5,down,5,4
16.5,74,D5,A,3,1,0.5,up,5,4
17.0,73,C#5,A,2,1,0.5,down,5,4
17.5,73,C#5,A,2,1,0.5,up,5,4
18.0,71,B4,A,1,1,0.5,down,5,4
18.5,71,B4,A,1,1,0.5,up,5,4
19.0,69,A4,A,0,1,1.0,down,4,4
